Date,TransitAgency,Location,Type,Amount
"8/18/2026 12:51:45 PM","Toronto Transit Commission","Wilson Ave At Keele St","Fare Payment","$-2.10"
"8/18/2026 4:19:23 PM","GTAFS Central System","","Epurse Load","$5.00"
"8/18/2026 4:19:53 PM","Union Pearson Express","Weston Station","Fare Payment","$-5.02"
"8/18/2026 4:53:48 PM","Toronto Transit Commission","King St West at Simcoe St - St. Andrew ","Fare Payment","$-2.10"
"8/18/2026 11:02:40 PM","GTAFS Central System","","Epurse Load","$5.00"
"8/18/2026 11:05:29 PM","GO Transit","Exhibition GO Station Rail","Fare Payment","$-3.70"
"8/18/2026 11:50:49 PM","GO Transit","Mount Dennis GO Station Rail","Fare Payment","$-0.17"
"8/19/2026 4:09:31 PM","Toronto Transit Commission","MOUNT DENNIS","Fare Payment","$-2.10"
"8/19/2026 6:29:47 PM","Toronto Transit Commission","DAVISVILLE STATION","Fare Payment","$-2.10"
"8/20/2026 1:23:31 PM","GTAFS Central System","","Epurse Load","$10.00"
"8/20/2026 1:31:01 PM","Toronto Transit Commission","Weston Rd at St Phillips Rd","Fare Payment","$-2.10"
"8/20/2026 5:19:57 PM","Toronto Transit Commission","College St At Crawford St","Fare Payment","$-2.10"
"8/20/2026 11:48:31 PM","Toronto Transit Commission","Queen St West At Bathurst St","Fare Payment","$-2.10"
"8/21/2026 3:28:15 AM","Toronto Transit Commission","King St West At Shaw St","Fare Payment","$-2.10"
"8/21/2026 1:49:38 PM","Toronto Transit Commission","Jane St At Lawrence Ave West","Fare Payment","$-2.10"
"8/21/2026 5:53:58 PM","GTAFS Central System","","Epurse Load","$10.00"
"8/21/2026 6:01:22 PM","Toronto Transit Commission","KEELE STATION","Fare Payment","$-2.10"
"8/23/2026 7:02:30 PM","GO Transit","Exhibition GO Station Rail","Fare Payment","$-3.70"
"8/23/2026 8:05:16 PM","GO Transit","Mount Dennis GO Station Rail","Fare Payment","$-0.17"
"8/24/2026 5:36:27 AM","GTAFS Central System","","Epurse Load","$10.00"
"8/24/2026 5:49:53 AM","Union Pearson Express","Weston Station","Fare Payment","$-5.02"
"8/24/2026 6:32:29 AM","GO Transit","Union Station Rail","Fare Payment","$-3.70"
"8/24/2026 6:50:53 PM","GO Transit","Exhibition GO Station Rail","Fare Payment","$-3.70"
"8/24/2026 7:54:46 PM","GO Transit","Mount Dennis GO Station Rail","Fare Payment","$-0.17"
"8/25/2026 5:55:48 PM","Toronto Transit Commission","EGLINTON STATION","Epurse Load","$5.00"
"8/25/2026 5:56:08 PM","Toronto Transit Commission","EGLINTON STATION","Fare Payment","$-2.10"
"8/25/2026 8:35:16 PM","Toronto Transit Commission","1515 Albion Rd - Albion Library","Fare Payment","$-2.10"
"8/26/2026 1:46:02 PM","Toronto Transit Commission","Weston Rd at Little Ave","Fare Payment","$-2.10"
"8/26/2026 5:08:14 PM","GTAFS Central System","","Epurse Load","$2.00"
"8/26/2026 6:30:30 PM","Toronto Transit Commission","SHEPPARD-YONGE STATION","Fare Payment","$-2.10"
"8/27/2026 4:34:55 PM","GTAFS Central System","","Epurse Load","$5.00"
"8/27/2026 4:44:12 PM","Toronto Transit Commission","Weston Rd at Little Ave","Fare Payment","$-2.10"
"8/29/2026 1:04:58 PM","Toronto Transit Commission","Weston Rd at St Phillips Rd","Fare Payment","$-2.10"
"8/29/2026 4:51:46 PM","GTAFS Central System","","Epurse Load","$5.00"
"8/29/2026 4:53:53 PM","Toronto Transit Commission","FOREST HILL","Fare Payment","$-2.10"
"8/31/2026 5:14:10 PM","Toronto Transit Commission","Weston Rd at St Phillips Rd","Fare Payment","$-2.10"
"8/31/2026 8:20:36 PM","GTAFS Central System","","Epurse Load","$5.00"
"8/31/2026 8:21:59 PM","Toronto Transit Commission","BLOOR-YONGE STATION","Fare Payment","$-2.10"
"9/1/2026 7:52:31 PM","GTAFS Central System","","Epurse Load","$10.00"
"9/1/2026 8:01:33 PM","GO Transit","Hamilton - HamiltonGOCentre At HunterSt","Fare Payment","$-3.70"
"9/1/2026 9:07:05 PM","GO Transit","Miss.- Renforth Transitway Station At","Fare Payment","$-6.61"
"9/2/2026 11:11:02 AM","Toronto Transit Commission","Weston Rd at Lawrence Ave West","Fare Payment","$-2.10"
"9/3/2026 6:12:45 PM","Toronto Transit Commission","Weston Rd at Little Ave","Fare Payment","$-2.10"
"9/3/2026 6:44:23 PM","GTAFS Central System","","Epurse Load","$2.00"
"9/3/2026 11:43:08 PM","Toronto Transit Commission","0","Fare Payment","$-2.10"
"9/3/2026 11:57:17 PM","Toronto Transit Commission","ST ANDREW STATION","Fare Payment","$2.10"
"9/4/2026 8:50:54 AM","GTAFS Central System","","Epurse Load","$10.00"
"9/4/2026 9:02:21 AM","Toronto Transit Commission","Lawrence Ave West at Ralph St - Weston ","Fare Payment","$-2.10"
"9/4/2026 11:23:04 AM","Toronto Transit Commission","0","Fare Payment","$-2.10"
"9/4/2026 1:38:22 PM","Toronto Transit Commission","EGLINTON STATION","Fare Payment","$-2.10"
"9/9/2026 2:54:24 PM","Toronto Transit Commission","Weston Rd at Lawrence Ave West","Fare Payment","$-2.10"
"9/9/2026 5:11:16 PM","GTAFS Central System","","Epurse Load","$5.00"
"9/9/2026 7:11:51 PM","Toronto Transit Commission","Union Station - Northbound Platform Tow","Fare Payment","$-2.10"
"9/10/2026 1:14:13 PM","Toronto Transit Commission","Weston Rd At Church St South Side","Fare Payment","$-2.10"
"9/10/2026 5:18:09 PM","Toronto Transit Commission","Dufferin St At St Clair Ave West","Fare Payment","$-2.10"
"9/10/2026 7:55:44 PM","GTAFS Central System","","Epurse Load","$6.00"
"9/10/2026 7:56:00 PM","Toronto Transit Commission","MOUNT DENNIS","Fare Payment","$-2.10"
"9/11/2026 2:43:40 PM","Toronto Transit Commission","Weston Rd At Clouston Ave","Fare Payment","$-2.10"
"9/11/2026 5:02:44 PM","Toronto Transit Commission","EGLINTON STATION","Fare Payment","$-2.10"
"9/14/2026 3:56:42 PM","GO Transit","Weston GO Station Rail","Epurse Load","$5.00"
"9/14/2026 3:56:55 PM","GO Transit","Weston GO Station Rail","Fare Payment","$-3.70"
"9/14/2026 4:38:06 PM","GO Transit","Union Station Rail","Fare Payment","$-1.06"
"9/14/2026 4:40:24 PM","GO Transit","Union Station Rail","Epurse Load","$3.10"
"9/14/2026 10:32:35 PM","Toronto Transit Commission","0","Fare Payment","$-2.10"
"9/16/2026 6:06:05 AM","GO Transit","Weston GO Station Rail","Epurse Load","$5.00"
"9/16/2026 6:06:28 AM","GO Transit","Weston GO Station Rail","Fare Payment","$-3.70"
"9/16/2026 6:34:33 AM","GO Transit","Union Station Rail","Fare Payment","$-1.06"
"9/16/2026 5:46:01 PM","Toronto Transit Commission","CASTLE FRANK STATION","Epurse Load","$5.00"
"9/16/2026 5:46:16 PM","Toronto Transit Commission","CASTLE FRANK STATION","Fare Payment","$-2.10"
"9/17/2026 1:44:54 PM","Toronto Transit Commission","Lawrence Ave West at Weston Rd East Sid","Fare Payment","$-2.10"
"9/17/2026 5:16:43 PM","Toronto Transit Commission","BLOOR-YONGE STATION","Fare Payment","$-2.10"
"9/18/2026 11:01:05 AM","GO Transit","Weston GO Station Rail","Epurse Load","$3.20"
"9/18/2026 11:01:48 AM","GO Transit","Weston GO Station Rail","Epurse Load","$5.00"
"9/18/2026 11:02:29 AM","GO Transit","Weston GO Station Rail","Fare Payment","$-3.70"
"9/18/2026 11:54:26 AM","GO Transit","Exhibition GO Station Rail","Fare Payment","$-1.06"
